CMDLINE python src/compress/measure_memory_v1.py
MEM 246.617188 1778266338.7929
MEM 247.679688 1778266338.8932
MEM 247.937500 1778266338.9934
MEM 248.050781 1778266339.0937
MEM 248.820312 1778266339.1940
MEM 249.722656 1778266339.2942
MEM 249.984375 1778266339.3945
MEM 250.671875 1778266339.4948
MEM 251.628906 1778266339.5950
MEM 252.230469 1778266339.6953
MEM 253.070312 1778266339.7955
MEM 253.582031 1778266339.8958
MEM 254.613281 1778266339.9961
MEM 255.382812 1778266340.0963
MEM 255.996094 1778266340.1966
MEM 256.445312 1778266340.2969
MEM 256.718750 1778266340.3971
MEM 256.972656 1778266340.4974
MEM 260.386719 1778266340.5977
MEM 264.769531 1778266340.6979
MEM 264.769531 1778266340.7982
MEM 264.769531 1778266340.8985
MEM 264.769531 1778266340.9987
MEM 264.769531 1778266341.0990
MEM 266.000000 1778266341.1993
MEM 267.082031 1778266341.2995
MEM 292.492188 1778266341.4000
MEM 321.824219 1778266341.5004
MEM 360.527344 1778266341.6008
MEM 386.796875 1778266341.7013
MEM 411.746094 1778266341.8017
MEM 465.484375 1778266341.9022
MEM 465.484375 1778266342.0026
MEM 547.414062 1778266342.1030
MEM 547.414062 1778266342.2035
MEM 598.437500 1778266342.3039
MEM 628.492188 1778266342.4044
MEM 628.492188 1778266342.5048
MEM 701.570312 1778266342.6052
MEM 727.250000 1778266342.7057
MEM 727.250000 1778266342.8061
MEM 780.625000 1778266342.9065
MEM 883.937500 1778266343.0070
MEM 883.937500 1778266343.1074
MEM 883.937500 1778266343.2079
MEM 932.941406 1778266343.3083
MEM 1008.250000 1778266343.4087
MEM 1036.089844 1778266343.5092
MEM 1036.089844 1778266343.6096
MEM 1036.089844 1778266343.7101
MEM 1096.863281 1778266343.8105
MEM 1172.917969 1778266343.9109
MEM 1224.292969 1778266344.0113
MEM 1224.292969 1778266344.1118
MEM 1224.292969 1778266344.2123
MEM 1224.292969 1778266344.3127
MEM 1291.253906 1778266344.4131
MEM 1424.214844 1778266344.5135
MEM 1500.132812 1778266344.6140
MEM 1521.906250 1778266344.7144
MEM 1521.906250 1778266344.8148
MEM 1521.906250 1778266344.9153
MEM 1521.906250 1778266345.0157
MEM 1562.089844 1778266345.1161
MEM 1638.304688 1778266345.2166
MEM 1714.542969 1778266345.3170
MEM 1790.414062 1778266345.4174
MEM 1811.750000 1778266345.5178
MEM 1811.750000 1778266345.6183
MEM 1811.750000 1778266345.7187
MEM 1811.750000 1778266345.8192
MEM 1811.750000 1778266345.9196
MEM 1858.531250 1778266346.0200
MEM 1934.605469 1778266346.1204
MEM 2010.621094 1778266346.2208
MEM 2086.503906 1778266346.3212
MEM 2162.644531 1778266346.4216
MEM 2164.191406 1778266346.5220
MEM 2164.191406 1778266346.6224
MEM 2164.191406 1778266346.7229
MEM 2164.191406 1778266346.8233
MEM 2164.191406 1778266346.9237
MEM 2164.191406 1778266347.0240
MEM 2222.320312 1778266347.1244
MEM 2298.421875 1778266347.2249
MEM 2374.636719 1778266347.3253
MEM 2564.625000 1778266347.4257
MEM 2640.660156 1778266347.5262
MEM 2716.875000 1778266347.6266
MEM 2731.171875 1778266347.7270
MEM 2731.171875 1778266347.8275
MEM 2731.171875 1778266347.9279
MEM 2731.171875 1778266348.0284
MEM 2731.171875 1778266348.1287
MEM 2731.171875 1778266348.2291
MEM 2731.171875 1778266348.3294
MEM 2746.472656 1778266348.4297
MEM 2822.574219 1778266348.5301
MEM 2898.546875 1778266348.6305
MEM 2974.582031 1778266348.7310
MEM 3050.820312 1778266348.8314
MEM 3127.042969 1778266348.9318
MEM 3202.960938 1778266349.0322
MEM 3271.628906 1778266349.1327
MEM 3271.628906 1778266349.2330
MEM 3271.628906 1778266349.3334
MEM 3271.628906 1778266349.4339
MEM 3271.628906 1778266349.5344
MEM 3271.628906 1778266349.6348
MEM 3271.628906 1778266349.7352
MEM 3271.628906 1778266349.8357
MEM 3271.628906 1778266349.9360
MEM 3271.628906 1778266350.0363
MEM 3331.019531 1778266350.1367
MEM 3406.960938 1778266350.2371
MEM 3482.988281 1778266350.3375
MEM 3559.085938 1778266350.4378
MEM 3634.957031 1778266350.5382
MEM 3710.851562 1778266350.6386
MEM 3786.562500 1778266350.7391
MEM 3862.609375 1778266350.8395
MEM 3938.242188 1778266350.9399
MEM 3939.273438 1778266351.0402
MEM 3939.273438 1778266351.1407
