Errors log for ligand_PO4
                Error in graph_extraction for 2PLA:                 
                Error in graph_extraction for 3T5Q:                 
                Error in graph_extraction for 2P0F:                 
                Error in graph_extraction for 2OZW:                 
                Error in graph_extraction for 4ZQ0:                 
                Error in graph_extraction for 3EBL:                 
                Error in graph_extraction for 2ODY:                 
                Error in graph_extraction for 4XNJ:                 
                Error in graph_extraction for 1H6L:                 
                Error in graph_extraction for 1GJU:                 
                Error in graph_extraction for 2P8I:                 
                Error in graph_extraction for 1GG0:                 
                Error in graph_extraction for 5LBP:                 
                Error in graph_extraction for 3M6L:                 
                Error in graph_extraction for 2R5V:                 
                Error in graph_extraction for 3CJ9:                 
                Error in graph_extraction for 3GMW:                 
                Error in graph_extraction for 3LOM:                 
                Error in graph_extraction for 1CNQ:                 
                Error in graph_extraction for 1Z7M:                 
                Error in graph_extraction for 3HVQ:                 
                Error in graph_extraction for 4DL8:                 
                Error in graph_extraction for 1WAR:                 
                Error in graph_extraction for 2VM9:                 
                Error in graph_extraction for 3BE8:                 
                Error in graph_extraction for 1T13:                 
                Error in graph_extraction for 2IM8:                 
                Error in graph_extraction for 4HS3:                 
                Error in graph_extraction for 4F8B:                 
                Error in graph_extraction for 1UV5:                 
                Error in graph_extraction for 1QWT:                 
                Error in graph_extraction for 3W6N:                 
                Error in graph_extraction for 4IJM:                 
                Error in graph_extraction for 3MOK:                 
                Error in graph_extraction for 3IHL:                 
                Error in graph_extraction for 3ANO:                 
                Error in graph_extraction for 2WLC:                 
                Error in graph_extraction for 3SS4:                 
                Error in graph_extraction for 2HQJ:                 
                Error in graph_extraction for 4MPO:                 
                Error in graph_extraction for 2YXU:                 
                Error in graph_extraction for 3UNV:                 
                Error in graph_extraction for 3L7U:                 
                Error in graph_extraction for 1VPV:                 
                Error in graph_extraction for 1H2E:                 
                Error in graph_extraction for 1DPG:                 
                Error in graph_extraction for 3PFK:                 
                Error in graph_extraction for 1WTH:                 
                Error in graph_extraction for 1BNC:                 
                Error in graph_extraction for 3F3B:                 
                Error in graph_extraction for 1E6D:                 
                Error in graph_extraction for 4I99:                 
                Error in graph_extraction for 2DJ5:                 
                Error in graph_extraction for 1FPP:                 
                Error in graph_extraction for 1VJ5:                 
                Error in graph_extraction for 2IB5:                 
                Error in graph_extraction for 4H6Z:                 
                Error in graph_extraction for 3DMO:                 
                Error in graph_extraction for 3LV9:                 
                Error in graph_extraction for 1X07:                 
                Error in graph_extraction for 3B7N:                 
                Error in graph_extraction for 2Z0B:                 
                Error in graph_extraction for 1A2Y:                 
                Error in graph_extraction for 5TD7:                 
                Error in graph_extraction for 1OOY:                 
