2025-04-09 18:15:30 status unpacked dpkg-dev:all 1.21.22
2025-04-09 18:15:30 install fonts-dejavu-core:all <none> 2.37-6
2025-04-09 18:15:30 status half-installed fonts-dejavu-core:all 2.37-6
2025-04-09 18:15:30 status unpacked fonts-dejavu-core:all 2.37-6
2025-04-09 18:15:30 install fontconfig-config:amd64 <none> 2.14.1-4
2025-04-09 18:15:30 status half-installed fontconfig-config:amd64 2.14.1-4
2025-04-09 18:15:30 status unpacked fontconfig-config:amd64 2.14.1-4
2025-04-09 18:15:30 install libcc1-0:amd64 <none> 12.2.0-14
2025-04-09 18:15:30 status half-installed libcc1-0:amd64 12.2.0-14
2025-04-09 18:15:30 status unpacked libcc1-0:amd64 12.2.0-14
2025-04-09 18:15:30 install libgomp1:amd64 <none> 12.2.0-14
2025-04-09 18:15:30 status half-installed libgomp1:amd64 12.2.0-14
2025-04-09 18:15:30 status unpacked libgomp1:amd64 12.2.0-14
2025-04-09 18:15:30 install libitm1:amd64 <none> 12.2.0-14
2025-04-09 18:15:30 status half-installed libitm1:amd64 12.2.0-14
2025-04-09 18:15:30 status unpacked libitm1:amd64 12.2.0-14
2025-04-09 18:15:30 install libatomic1:amd64 <none> 12.2.0-14
2025-04-09 18:15:30 status half-installed libatomic1:amd64 12.2.0-14
2025-04-09 18:15:30 status unpacked libatomic1:amd64 12.2.0-14
2025-04-09 18:15:30 install libasan8:amd64 <none> 12.2.0-14
2025-04-09 18:15:30 status half-installed libasan8:amd64 12.2.0-14
2025-04-09 18:15:31 status unpacked libasan8:amd64 12.2.0-14
2025-04-09 18:15:31 install liblsan0:amd64 <none> 12.2.0-14
2025-04-09 18:15:31 status half-installed liblsan0:amd64 12.2.0-14
2025-04-09 18:15:31 status unpacked liblsan0:amd64 12.2.0-14
2025-04-09 18:15:31 install libtsan2:amd64 <none> 12.2.0-14
2025-04-09 18:15:31 status half-installed libtsan2:amd64 12.2.0-14
2025-04-09 18:15:31 status unpacked libtsan2:amd64 12.2.0-14
2025-04-09 18:15:31 install libubsan1:amd64 <none> 12.2.0-14
2025-04-09 18:15:31 status half-installed libubsan1:amd64 12.2.0-14
2025-04-09 18:15:31 status unpacked libubsan1:amd64 12.2.0-14
2025-04-09 18:15:31 install libquadmath0:amd64 <none> 12.2.0-14
2025-04-09 18:15:31 status half-installed libquadmath0:amd64 12.2.0-14
2025-04-09 18:15:31 status unpacked libquadmath0:amd64 12.2.0-14
2025-04-09 18:15:31 install libgcc-12-dev:amd64 <none> 12.2.0-14
2025-04-09 18:15:31 status half-installed libgcc-12-dev:amd64 12.2.0-14
2025-04-09 18:15:31 status unpacked libgcc-12-dev:amd64 12.2.0-14
2025-04-09 18:15:31 install gcc-12:amd64 <none> 12.2.0-14
2025-04-09 18:15:31 status half-installed gcc-12:amd64 12.2.0-14
2025-04-09 18:15:32 status unpacked gcc-12:amd64 12.2.0-14
2025-04-09 18:15:32 install gcc:amd64 <none> 4:12.2.0-3
2025-04-09 18:15:32 status half-installed gcc:amd64 4:12.2.0-3
2025-04-09 18:15:32 status unpacked gcc:amd64 4:12.2.0-3
2025-04-09 18:15:32 install gnupg-l10n:all <none> 2.2.40-1.1
2025-04-09 18:15:32 status half-installed gnupg-l10n:all 2.2.40-1.1
2025-04-09 18:15:32 status unpacked gnupg-l10n:all 2.2.40-1.1
2025-04-09 18:15:32 install gnupg-utils:amd64 <none> 2.2.40-1.1
2025-04-09 18:15:32 status half-installed gnupg-utils:amd64 2.2.40-1.1
2025-04-09 18:15:32 status unpacked gnupg-utils:amd64 2.2.40-1.1
2025-04-09 18:15:32 install libsqlite3-0:amd64 <none> 3.40.1-2+deb12u1
2025-04-09 18:15:32 status half-installed libsqlite3-0:amd64 3.40.1-2+deb12u1
2025-04-09 18:15:32 status unpacked libsqlite3-0:amd64 3.40.1-2+deb12u1
2025-04-09 18:15:32 install gpg:amd64 <none> 2.2.40-1.1
2025-04-09 18:15:32 status half-installed gpg:amd64 2.2.40-1.1
2025-04-09 18:15:32 status unpacked gpg:amd64 2.2.40-1.1
2025-04-09 18:15:32 install libncursesw6:amd64 <none> 6.4-4
2025-04-09 18:15:32 status half-installed libncursesw6:amd64 6.4-4
2025-04-09 18:15:32 status unpacked libncursesw6:amd64 6.4-4
2025-04-09 18:15:32 install pinentry-curses:amd64 <none> 1.2.1-1
2025-04-09 18:15:32 status half-installed pinentry-curses:amd64 1.2.1-1
2025-04-09 18:15:32 status unpacked pinentry-curses:amd64 1.2.1-1
2025-04-09 18:15:32 install gpg-agent:amd64 <none> 2.2.40-1.1
2025-04-09 18:15:32 status half-installed gpg-agent:amd64 2.2.40-1.1
2025-04-09 18:15:32 status unpacked gpg-agent:amd64 2.2.40-1.1
2025-04-09 18:15:32 install gpg-wks-client:amd64 <none> 2.2.40-1.1
2025-04-09 18:15:32 status half-installed gpg-wks-client:amd64 2.2.40-1.1
2025-04-09 18:15:32 status unpacked gpg-wks-client:amd64 2.2.40-1.1
2025-04-09 18:15:32 install gpg-wks-server:amd64 <none> 2.2.40-1.1
2025-04-09 18:15:32 status half-installed gpg-wks-server:amd64 2.2.40-1.1
2025-04-09 18:15:32 status unpacked gpg-wks-server:amd64 2.2.40-1.1
2025-04-09 18:15:32 install gpgsm:amd64 <none> 2.2.40-1.1
2025-04-09 18:15:32 status half-installed gpgsm:amd64 2.2.40-1.1
2025-04-09 18:15:32 status unpacked gpgsm:amd64 2.2.40-1.1
2025-04-09 18:15:32 install gnupg:all <none> 2.2.40-1.1
2025-04-09 18:15:32 status half-installed gnupg:all 2.2.40-1.1
2025-04-09 18:15:32 status unpacked gnupg:all 2.2.40-1.1
2025-04-09 18:15:32 install libbluetooth3:amd64 <none> 5.66-1+deb12u2
2025-04-09 18:15:32 status half-installed libbluetooth3:amd64 5.66-1+deb12u2
2025-04-09 18:15:32 status unpacked libbluetooth3:amd64 5.66-1+deb12u2
2025-04-09 18:15:32 install libc-dev-bin:amd64 <none> 2.36-9+deb12u10
2025-04-09 18:15:32 status half-installed libc-dev-bin:amd64 2.36-9+deb12u10
2025-04-09 18:15:32 status unpacked libc-dev-bin:amd64 2.36-9+deb12u10
2025-04-09 18:15:32 install linux-libc-dev:amd64 <none> 6.1.129-1
2025-04-09 18:15:32 status half-installed linux-libc-dev:amd64 6.1.129-1
2025-04-09 18:15:32 status unpacked linux-libc-dev:amd64 6.1.129-1
2025-04-09 18:15:32 install libcrypt-dev:amd64 <none> 1:4.4.33-2
2025-04-09 18:15:32 status half-installed libcrypt-dev:amd64 1:4.4.33-2
2025-04-09 18:15:32 status unpacked libcrypt-dev:amd64 1:4.4.33-2
2025-04-09 18:15:32 install libkrb5support0:amd64 <none> 1.20.1-2+deb12u2
2025-04-09 18:15:32 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u2
2025-04-09 18:15:32 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
2025-04-09 18:15:32 install libk5crypto3:amd64 <none> 1.20.1-2+deb12u2
2025-04-09 18:15:32 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u2
2025-04-09 18:15:32 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u2
2025-04-09 18:15:33 install libkeyutils1:amd64 <none> 1.6.3-2
2025-04-09 18:15:33 status half-installed libkeyutils1:amd64 1.6.3-2
2025-04-09 18:15:33 status unpacked libkeyutils1:amd64 1.6.3-2
2025-04-09 18:15:33 install libkrb5-3:amd64 <none> 1.20.1-2+deb12u2
2025-04-09 18:15:33 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u2
2025-04-09 18:15:33 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u2
2025-04-09 18:15:33 install libgssapi-krb5-2:amd64 <none> 1.20.1-2+deb12u2
2025-04-09 18:15:33 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2025-04-09 18:15:33 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2025-04-09 18:15:33 install libtirpc-common:all <none> 1.3.3+ds-1
2025-04-09 18:15:33 status half-installed libtirpc-common:all 1.3.3+ds-1
2025-04-09 18:15:33 status unpacked libtirpc-common:all 1.3.3+ds-1
2025-04-09 18:15:33 install libtirpc3:amd64 <none> 1.3.3+ds-1
2025-04-09 18:15:33 status half-installed libtirpc3:amd64 1.3.3+ds-1
2025-04-09 18:15:33 status unpacked libtirpc3:amd64 1.3.3+ds-1
2025-04-09 18:15:33 install libnsl2:amd64 <none> 1.3.0-2
2025-04-09 18:15:33 status half-installed libnsl2:amd64 1.3.0-2
2025-04-09 18:15:33 status unpacked libnsl2:amd64 1.3.0-2
2025-04-09 18:15:33 install libtirpc-dev:amd64 <none> 1.3.3+ds-1
2025-04-09 18:15:33 status half-installed libtirpc-dev:amd64 1.3.3+ds-1
